model,family,val_accuracy,val_f1,val_auroc,val_auprc,threshold,checkpoint
our_rc_dilated_bigru_gated,ours,0.9181529224792513,0.9191170054969026,0.9691678104301249,0.967014452472161,0.49999999999999994,results/checkpoints/sota_our_rc_dilated_bigru_gated.pt
danq_style,DanQ-inspired,0.8669433162634645,0.8696479543292103,0.9390942060710017,0.9362449489514075,0.39999999999999997,results/checkpoints/sota_danq_style.pt
basenji_style,Basenji-inspired,0.8621755253399258,0.8650237786424557,0.936347240474209,0.9354204925663638,0.39999999999999997,results/checkpoints/sota_basenji_style.pt
cnn1d_baseline,baseline,0.8010771675790217,0.8163664520335806,0.8923243680738074,0.8852323440949418,0.25,results/checkpoints/sota_cnn1d_baseline.pt
deepsea_style,DeepSEA-inspired,0.7888928129966449,0.8035171337003862,0.8775529031136309,0.8712091249438243,0.2,results/checkpoints/sota_deepsea_style.pt
mlp_baseline,baseline,0.6033021366766731,0.7006462788993271,0.6895332827682619,0.6547811521673804,0.35,results/checkpoints/sota_mlp_baseline.pt
logistic_baseline,baseline,0.5685149214197421,0.6791833519333027,0.6222257343784612,0.5958430128279716,0.35,results/checkpoints/sota_logistic_baseline.pt
