model,family,val_accuracy,val_f1,val_auroc,val_auprc,threshold,checkpoint
our_rc_dilated_bigru_gated,ours,0.9787322768974145,0.9787091926191868,0.9953986532172587,0.9947834058790683,0.5499999999999999,results/checkpoints/sota_our_rc_dilated_bigru_gated.pt
basenji_style,Basenji-inspired,0.9581317764804004,0.9581457395364349,0.9921917407894669,0.9920066155287856,0.49999999999999994,results/checkpoints/sota_basenji_style.pt
deepsea_style,DeepSEA-inspired,0.9502919099249374,0.9506131919124958,0.987757839651791,0.9881202711909767,0.5499999999999999,results/checkpoints/sota_deepsea_style.pt
cnn1d_baseline,baseline,0.946371976647206,0.9471086616764004,0.9879403381539482,0.9871818415613569,0.35,results/checkpoints/sota_cnn1d_baseline.pt
danq_style,DanQ-inspired,0.9638031693077564,0.9640371229698376,0.988495610506182,0.9858587653144955,0.44999999999999996,results/checkpoints/sota_danq_style.pt
mlp_baseline,baseline,0.7993327773144286,0.8186614410611999,0.8788511976662451,0.8515920872092217,0.49999999999999994,results/checkpoints/sota_mlp_baseline.pt
logistic_baseline,baseline,0.7624687239366138,0.7958130197877832,0.8344956309290972,0.7874429256507027,0.35,results/checkpoints/sota_logistic_baseline.pt
